Year,Point Reyes,Farallon Islands,Ano Nuevo,Gorda-Cape San Martin,Piedras Blancas,San Miguel Island,Santa Rosa Island,San Nicolas Island,Santa Barbara Island,San Clemente Island
1958,NA,NA,NA,NA,NA,84,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,60,NA,NA,878,NA,83,11,0
1965,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,100,NA,NA,NA,NA,136,NA,NA
1967,NA,NA,143,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,187,NA,NA,1624,NA,171,28,0
1969,NA,NA,238,NA,NA,NA,NA,193,NA,NA
1970,NA,NA,307,NA,NA,NA,NA,210,NA,NA
1971,NA,NA,326,NA,NA,NA,NA,354,NA,NA
1972,NA,1,390,NA,NA,2482,NA,428,28,0
1973,NA,2,435,NA,NA,3088,NA,NA,NA,NA
1974,NA,17,495,NA,NA,NA,NA,NA,NA,NA
1975,NA,35,622,NA,NA,3547,NA,NA,NA,NA
1976,NA,60,755,NA,NA,4014,NA,NA,NA,NA
1977,NA,104,891,NA,NA,4760,NA,693,74,1
1978,NA,133,998,NA,NA,5447,NA,NA,NA,NA
1979,NA,184,1146,NA,NA,5531,0,NA,NA,NA
1980,NA,232,1368,NA,NA,6475,0,1187,NA,0
1981,1,292,1313,3,NA,7272,0,1546,NA,0
1982,1,367,1511,18,NA,7376,0,2312,NA,4
1983,2,475,1639,7,NA,8301,0,1906,25,0
1984,12,447,1854,25,NA,9342,0,2074,80,3
1985,15,360,1541,24,NA,10459,2,2583,93,2
1986,19,434,1726,4,NA,9824,0,2626,56,1
1987,20,395,1548,13,NA,10120,2,2835,75,1
1988,34,393,1738,13,NA,11405,2,3248,69,0
1989,44,380,1905,67,NA,11799,3,4925,106,0
1990,52,396,2004,65,NA,12929,23,4266,69,0
1991,81,352,2200,263,NA,13638,86,4739,45,3
1992,116,370,2366,371,1,13970,67,5775,18,3
1993,149,329,2168,416,54,14397,123,5310,106,2
1994,228,287,2276,471,293,15451,315,5964,47,0
1995,150,299,2731,277,605,14704,186,6821,110,12
1996,290,312,2484,511,989,14421,435,6353,112,16
1997,356,274,2720,506,1196,NA,NA,NA,NA,18
1998,381,250,2554,122,1671,15236,516,6828,34,17
1999,408,198,2575,431,1912,NA,NA,NA,NA,13
2000,376,174,2416,224,1846,12541,1527,10018,67,7
2001,402,156,2473,266,1941,13365,1575,9403,50,17
2002,427,136,2466,362,2176,NA,NA,NA,NA,20
2003,495,149,2594,305,2649,NA,NA,NA,NA,19
2004,642,156,2512,299,3053,NA,NA,NA,NA,24
2005,643,158,2619,231,3514,15634,4227,10245,55,46
2006,746,185,2582,278,3789,NA,NA,NA,NA,29
2007,705,168,2470,250,4080,NA,NA,NA,NA,46
2008,683,150,2368,184,4007,NA,NA,NA,NA,63
2009,680,124,2199,204,3808,NA,NA,NA,NA,57
2010,698,120,2144,101,4469,16208,5946,10882,51,57
